Day,Month,day of week,angbutter,plain bread,jam,americano,croissant,caffe latte,tiramisu crossant,cacaou deep,pain au chocolat,almond croissant,croque monsieur,mad garlic,milk tea
4,11,1,16,7,1,2,0,2,4,2,5,0,0,0,1
6,11,3,2,11,2,1,3,0,1,2,1,0,0,0,0
7,11,4,7,2,1,0,3,1,1,0,2,5,0,0,0
8,11,5,11,6,5,3,8,0,1,1,1,0,0,0,0
9,11,6,17,5,4,3,4,0,4,3,5,1,0,0,0
10,11,7,20,6,2,1,3,2,8,2,4,1,0,0,0
11,11,1,26,5,0,2,1,2,7,2,6,1,0,0,3
13,11,3,10,10,2,1,0,1,3,1,0,0,0,0,0
14,11,4,11,5,2,2,2,0,6,0,1,1,0,0,2
15,11,5,8,1,1,1,2,0,1,0,0,0,0,0,2
16,11,6,9,6,0,2,8,0,3,0,4,0,0,0,1
17,11,7,14,6,2,1,4,0,1,3,2,0,0,0,0
18,11,1,23,10,0,4,10,2,4,1,2,0,0,0,2
20,11,3,4,3,0,0,3,1,5,1,3,0,0,0,0
21,11,4,8,10,4,0,3,2,2,1,1,0,0,0,1
22,11,5,12,0,0,2,4,0,0,0,0,0,0,0,0
23,11,6,6,2,2,0,7,0,0,0,0,0,0,0,1
24,11,7,11,4,1,2,7,2,7,2,2,0,0,0,1
25,11,1,17,7,2,6,1,5,3,5,1,2,0,0,2
27,11,3,7,1,1,0,8,4,2,1,10,2,0,0,0
28,11,4,12,5,1,1,2,0,3,0,4,0,0,0,0
29,11,5,15,5,1,0,2,1,6,1,2,0,0,0,1
30,11,6,12,3,0,1,4,1,5,3,4,2,0,0,2
1,12,7,22,7,1,1,5,3,7,1,3,1,0,0,0
2,12,1,20,7,2,4,5,0,7,1,6,0,0,0,1
4,12,3,6,2,0,1,4,0,2,0,4,0,0,0,2
5,12,4,17,5,0,3,3,0,1,3,1,4,0,0,0
6,12,5,21,3,1,0,5,1,10,1,8,0,0,0,0
7,12,6,16,5,2,2,7,2,2,2,2,1,0,0,1
8,12,7,12,4,1,0,4,0,4,3,5,2,0,0,1
9,12,1,28,11,2,11,3,3,12,4,0,5,0,0,0
11,12,3,11,0,1,2,2,0,8,2,2,0,0,0,0
12,12,4,7,12,1,6,7,1,3,0,6,2,0,0,0
13,12,5,18,6,4,3,1,1,7,1,2,0,0,0,1
14,12,6,10,2,2,7,2,3,0,0,1,0,0,0,0
15,12,7,16,4,0,0,2,3,10,0,1,0,0,0,2
16,12,1,16,0,0,3,2,2,2,5,1,2,0,0,1
18,12,3,12,1,0,2,1,2,6,1,2,0,0,0,2
19,12,4,21,3,0,0,2,1,3,1,5,0,0,0,3
20,12,5,12,5,3,0,7,0,4,2,6,0,0,0,1
21,12,6,9,4,1,2,2,0,4,0,0,2,0,0,0
22,12,7,9,1,0,4,6,1,4,3,5,1,0,0,1
23,12,1,11,8,0,6,8,1,6,0,2,0,0,0,0
24,12,2,10,1,0,3,2,3,2,4,2,2,0,0,3
25,12,3,5,0,0,2,0,0,3,0,0,0,0,0,0
26,12,4,7,6,1,1,4,1,4,0,0,0,0,0,0
27,12,5,4,2,2,1,1,0,5,1,0,0,0,0,1
28,12,6,3,2,2,0,1,0,3,0,2,0,0,0,0
29,12,7,25,7,2,2,12,1,10,5,4,2,0,0,0
30,12,1,15,6,1,5,0,1,6,3,5,1,0,0,0
